Регион;Код;2010;2011;2012;2013;2014;2015;2016;2017
Республика Калмыкия;850;-2286.0;-3730.0;-4175.0;-3605.0;-2641.0;0.0;-1690.0;0.0
Республика Крым;350;282.0;282.0;282.0;282.0;0.0;0.0;1131.0;0.0
Краснодарский край;300;21116.0;46180.0;33226.0;58357.0;32662.0;0.0;42006.0;0.0
Астраханская область;120;-1816.0;-3040.0;-2580.0;-2762.0;-2220.0;0.0;-3688.0;0.0
Волгоградская область;180;-5148.0;-8304.0;-10085.0;-11431.0;-9407.0;0.0;-7438.0;0.0
Ростовская область;600;-1331.0;-4016.0;-341.0;-5334.0;-1862.0;0.0;-2168.0;0.0
Город федерального значения Севастополь;670;1922.0;1922.0;1922.0;1922.0;0.0;0.0;7688.0;0.0
Северо-Кавказский федеральный округ;38;-41717.0;-41717.0;-48201.0;-46878.0;-28027.0;0.0;-25411.0;0.0
Республика Дагестан;820;-10248.0;-21994.0;-24279.0;-21900.0;-14679.0;0.0;-11124.0;0.0
Республика Ингушетия;260;1691.0;4992.0;3821.0;2791.0;2451.0;0.0;1409.0;0.0
Кабардино-Балкарская Республика;830;-3514.0;-6065.0;-6761.0;-6987.0;-4259.0;0.0;-2984.0;0.0
Карачаево-Черкесская Республика;910;-2508.0;-4579.0;-4897.0;-4378.0;-2786.0;0.0;-2554.0;0.0
Республика Северная Осетия-Алания;900;-4196.0;-7475.0;-7684.0;-6725.0;-3342.0;0.0;-3565.0;0.0
Чеченская Республика;960;-723.0;-3492.0;-4799.0;-5018.0;-2663.0;0.0;-2795.0;0.0
Ставропольский край;700;128.0;-3104.0;-3602.0;-4661.0;-2749.0;0.0;-3798.0;0.0
Приволжский федеральный округ;33;-37669.0;-60991.0;-63522.0;-64901.0;-50458.0;0.0;-46774.0;0.0
Республика Башкортостан;800;-3083.0;-12720.0;-11762.0;-9743.0;-8334.0;0.0;-6745.0;0.0
Республика Марий Эл;880;-1962.0;-2836.0;-2986.0;-2719.0;-2592.0;0.0;-1837.0;0.0
Республика Мордовия;890;-2780.0;-4190.0;-4681.0;-4777.0;-3731.0;0.0;-3201.0;0.0
Республика Татарстан (Татарстан);920;3045.0;3429.0;2853.0;2666.0;4853.0;0.0;3502.0;0.0
Удмуртская Республика;940;-3747.0;-4890.0;-5221.0;-3990.0;-3188.0;0.0;-2993.0;0.0
Чувашская Республика - Чувашия;970;-1757.0;-4282.0;-5161.0;-5591.0;-3800.0;0.0;-2530.0;0.0
Пермский край;570;-4345.0;-5135.0;-4834.0;-4447.0;-3616.0;0.0;-4300.0;0.0
Коми-Пермяцкий округ, входящий в состав Пермского края;571;-380.0;-380.0;-380.0;-380.0;-380.0;-380.0;-380.0;-380.0
Кировская область;330;-4229.0;-6812.0;-6603.0;-5673.0;-4799.0;0.0;-2895.0;0.0
Нижегородская область;220;-824.0;2890.0;3193.0;-54.0;-451.0;0.0;-1829.0;0.0
Оренбургская область;530;-7612.0;-12428.0;-12385.0;-12446.0;-10995.0;0.0;-8195.0;0.0
Пензенская область;560;-2867.0;-3701.0;-5101.0;-5307.0;-3478.0;0.0;-3142.0;0.0
Самарская область;360;81.0;966.0;-488.0;-316.0;-823.0;0.0;-3808.0;0.0
Саратовская область;630;-3301.0;-6054.0;-3884.0;-6579.0;-4368.0;0.0;-5609.0;0.0
Ульяновская область;730;-4288.0;-5228.0;-6462.0;-5925.0;-5136.0;0.0;-3192.0;0.0
Уральский федеральный округ;34;-8410.0;1893.0;-1687.0;-16361.0;-13432.0;0.0;-15879.0;0.0
Курганская область;370;-5200.0;-11216.0;-10017.0;-8012.0;-6520.0;0.0;-6187.0;0.0
Свердловская область;650;1310.0;5719.0;3966.0;927.0;2093.0;0.0;-5490.0;0.0
Тюменская область;710;-3345.0;6773.0;4634.0;-9513.0;-10034.0;0.0;154.0;0.0
Ханты-Мансийский автономный округ - Югра (Тюменская область);711;-1939.0;1837.0;-984.0;-9797.0;-8449.0;0.0;-5147.0;0.0
Ямало-Ненецкий автономный округ (Тюменская область);711;-6008.0;-2621.0;-4517.0;-10645.0;-9214.0;0.0;-4680.0;0.0
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа);710;6578.0;6578.0;10929.0;10929.0;7629.0;0.0;9981.0;0.0
Челябинская область;750;-1175.0;617.0;-270.0;237.0;1029.0;0.0;-4356.0;0.0
Сибирский федеральный округ;35;-26057.0;-43160.0;-42696.0;-52092.0;-45795.0;0.0;-47420.0;0.0
Республика Алтай;840;-8.0;-488.0;-530.0;-929.0;-402.0;0.0;-33.0;0.0
Республика Тыва;930;-1809.0;-3909.0;-3718.0;-3416.0;-2748.0;0.0;-1559.0;0.0
Республика Хакасия;950;-706.0;-1847.0;-1182.0;-1095.0;-472.0;0.0;71.0;0.0
Алтайский край;100;-6598.0;-12256.0;-11660.0;-11850.0;-7692.0;0.0;-7952.0;0.0
Агинский Бурятский округ (Забайкальский край);761;-611.0;-611.0;-611.0;-611.0;-611.0;-611.0;-611.0;-611.0
Красноярский край;400;-3201.0;1404.0;-1460.0;-4726.0;-4268.0;0.0;-2806.0;0.0
Таймырский (Долгано-Ненецкий) автономный округ (Красноярский край);410;-672.0;-672.0;-672.0;-672.0;-672.0;-672.0;-672.0;-672.0
Эвенкийский автономный округ (Красноярский край);413;-171.0;-171.0;-171.0;-171.0;-171.0;-171.0;-171.0;-171.0
Иркутская область;250;-6094.0;-9932.0;-9719.0;-11123.0;-9160.0;0.0;-7465.0;0.0
Кемеровская область - Кузбасс;320;-3344.0;-8034.0;-8136.0;-10284.0;-11437.0;0.0;-9391.0;0.0
Усть-Ордынский Бурятский округ;251;-1516.0;-1516.0;-1516.0;-1516.0;-1516.0;-1516.0;-1516.0;-1516.0
Новосибирская область;500;7025.0;8758.0;11950.0;11169.0;5830.0;0.0;2618.0;0.0
Омская область;520;-3777.0;-6144.0;-6786.0;-7579.0;-6150.0;0.0;-10192.0;0.0
Томская область;690;1494.0;4133.0;2061.0;1320.0;451.0;0.0;-184.0;0.0
Дальневосточный федеральный округ;36;-30439.0;-32380.0;-36049.0;-39305.0;-35675.0;0.0;-25268.0;0.0
Республика Бурятия;810;-3444.0;-4763.0;-4793.0;-4022.0;-2079.0;0.0;-3706.0;0.0
Забайкальский край;760;-5595.0;-10082.0;-8723.0;-9557.0;-7668.0;0.0;-6821.0;0.0
Республика Саха (Якутия);980;-7607.0;-10493.0;-9285.0;-9619.0;-6992.0;0.0;-4810.0;0.0
Камчатский край;300;-1934.0;-4019.0;-3967.0;-3475.0;-3253.0;0.0;-2628.0;0.0
Корякский округ, входящий в состав Камчатского края;301;-526.0;-526.0;-526.0;-526.0;-526.0;-526.0;-526.0;-526.0
Приморский край;500;-7486.0;-5404.0;-6170.0;-8811.0;-6178.0;0.0;-4452.0;0.0
Хабаровский край;800;-2971.0;-2860.0;-2749.0;-2638.0;-5859.0;0.0;-4453.0;0.0
Амурская область;100;-3647.0;-6246.0;-4738.0;-6135.0;-4983.0;0.0;-3380.0;0.0
Магаданская область;440;-1991.0;-2214.0;-2452.0;-2378.0;-2687.0;0.0;-1758.0;0.0
Сахалинская область;640;-3255.0;-2482.0;-2740.0;-3441.0;-3376.0;0.0;-1518.0;0.0
Еврейская автономная область;990;-651.0;-1735.0;-1586.0;-2196.0;-1933.0;0.0;-1675.0;0.0
Чукотский автономный округ;770;-897.0;275.0;-350.0;-612.0;-414.0;0.0;-594.0;0.0
Крымский федеральный округ;39;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
